,,,,,,,,,,,,,,,,Code,Stock,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status ,Sector
674298,YTLPOWR-C98,,,0.105,,-,-,0.105,0.105,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C98
68881S,AXIATA-C1S,,,0.125,,-,-,0.125,0.105,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AXIATA-C1S
716055,PENTA-C55,,,0.105,,-,-,0.105,0.105,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,PENTA-C55
7131,ACME,0.11,0.105,0.11,-0.005,0.11,0.105,0.21,0.105,350,,71,418230,54%,-0.003,1.43,7.53,Active,,,,,,,,,,,,,,,,,ACME
729346,YINSON-C46,,,0.105,,-,-,0.15,0.105,0,,-,-,38%,,,,Active,,,,,,,,,,,,,,,,,YINSON-C46
88691X,PMETAL-C1X,0.135,0.135,0.135,-,0.135,0.135,0.135,0.105,53600,,87,-,0%,,,,Active,,,,,,,,,,,,,,,,,PMETAL-C1X
0086,YGL,,,0.115,,-,-,0.195,0.11,0,,-,611680,50%,,0.08,88.92,Active,,,,,,,,,,,,,,,,,YGL
0160,HHHCORP,,,0.125,,-,-,0.145,0.11,0,,-,79545,50%,,1.02,13.05,Active,,,,,,,,,,,,,,,,,HHHCORP
020822,GREATEC-C22,0.15,0.15,0.15,-,0.15,0.15,0.175,0.11,13669,,61,-,0%,,,,Active,,,,,,,,,,,,,,,,,GREATEC-C22
0215CR,SLVEST-CR,0.11,0.115,0.115,-,0.115,0.11,0.145,0.11,141,,1,-,38%,,,,Active,,,,,,,,,,,,,,,,,SLVEST-CR
0231,FLEXI,0.165,0.165,0.135,+0.030,0.165,0.165,0.215,0.11,1,,100,39615,25%,-0.007,0.52,37.01,Active,,,,,,,,,,,,,,,,,FLEXI
0266,LEFORM,0.145,0.155,0.145,+0.010,0.155,0.145,0.165,0.11,9894,,98,508640,43%,-0.001,0.16,160.75,Active,,,,,,,,,,,,,,,,,LEFORM
03062,TSIC,,,0.11,,-,-,0.11,0.11,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,TSIC
0305,SINKUNG,0.12,0.125,0.12,+0.005,0.125,0.12,0.22,0.11,295,,100,69880,40%,-0.001,-0.06,,Active,,,,,,,,,,,,,,,,,SINKUNG
16193O,DRBHCOMC3O,0.15,0.155,0.14,+0.015,0.155,0.15,0.235,0.11,188,,68,92550,44%,-0.012,,,Active,,,,,,,,,,,,,,,,,DRBHCOMC3O
285262,CMSB-C62,0.175,0.175,0.175,-,0.175,0.175,0.32,0.11,5500,,18,443265,27%,-0.007,,,Active,,,,,,,,,,,,,,,,,CMSB-C62
33361L,IJM-C1L,,,0.11,,-,-,0.15,0.11,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,IJM-C1L
3514,MARCO,0.11,0.11,0.11,-,0.115,0.11,0.15,0.11,2018,,11,169940,25%,-0.002,1.2,9.13,Active,,,,,,,,,,,,,,,,,MARCO
48631U,TM-C1U,,,0.165,,-,-,0.19,0.11,0,,-,54370,65%,-0.002,,,Active,,,,,,,,,,,,,,,,,TM-C1U
5031C6,TIMECOM-C6,,,0.11,,-,-,0.135,0.11,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,TIMECOM-C6
5184CI,CYPARK-CI,,,0.175,,-,-,0.19,0.11,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CYPARK-CI
5231,PBSB,0.135,0.14,0.13,+0.010,0.14,0.135,0.24,0.11,1001,2.86%,95,122080,36%,-0.006,-0.03,,Active,,,,,,,,,,,,,,,,,PBSB
526462,MALAKOFC62,0.21,0.21,0.21,-,0.21,0.21,0.23,0.11,1000,,-,67795,64%,0.023,,,Active,,,,,,,,,,,,,,,,,MALAKOFC62
526349,SUNCON-C49,0.14,0.145,0.125,+0.020,0.15,0.14,0.125,0.11,4738,,51,-,0%,,,,Active,,,,,,,,,,,,,,,,,SUNCON-C49
529642,MRDIY-C42,,,0.115,,-,-,0.29,0.11,0,,-,24085,17%,-0.014,,,Active,,,,,,,,,,,,,,,,,MRDIY-C42
5326C9,99SMART-C9,,,0.12,,-,-,0.12,0.11,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,99SMART-C9
53983M,GAMUDA-C3M,,,0.23,,-,-,0.23,0.11,0,,-,760480,81%,0.02,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3M
5337CI,ECOSHOP-CI,,,0.175,,-,-,0.22,0.11,0,,-,487895,49%,0.009,,,Active,,,,,,,,,,,,,,,,,ECOSHOP-CI
587819,KPJ-C19,,,0.135,,-,-,0.33,0.11,0,,-,44045,42%,-0.017,,,Active,,,,,,,,,,,,,,,,,KPJ-C19
587826,KPJ-C26,,,0.155,,-,-,0.18,0.11,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KPJ-C26
587827,KPJ-C27,,,0.145,,-,-,0.175,0.11,0,,-,-,67%,,,,Active,,,,,,,,,,,,,,,,,KPJ-C27
53983W,GAMUDA-C3W,0.135,0.13,0.125,+0.005,0.14,0.13,0.145,0.11,6530,,49,-,0%,,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3W
6459CI,MNRB-CI,0.16,0.16,0.15,+0.010,0.16,0.16,0.15,0.11,150,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,MNRB-CI
716053,PENTA-C53,0.145,0.145,0.15,-0.005,0.145,0.145,0.19,0.11,1480,,32,401065,47%,0.007,,,Active,,,,,,,,,,,,,,,,,PENTA-C53
9237,SCIB,0.14,0.14,0.14,-,0.145,0.14,0.29,0.11,7004,,8,2234300,69%,0.003,0.66,21.8,Active,,,,,,,,,,,,,,,,,SCIB
009712,VITROX-C12,0.15,0.16,0.15,+0.010,0.165,0.15,0.175,0.115,1485,,42,148895,42%,0.009,,,Active,,,,,,,,,,,,,,,,,VITROX-C12
009713,VITROX-C13,0.11,0.11,0.115,-0.005,0.11,0.11,0.115,0.115,815,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,VITROX-C13
0111,K1,0.115,0.115,0.115,-,0.115,0.115,0.215,0.115,1380,,-,366805,44%,-0.001,0.02,154.57,Active,,,,,,,,,,,,,,,,,K1
01663N,INARI-C3N,0.12,0.12,0.13,-0.01,0.12,0.12,0.29,0.115,680,,44,74520,38%,-0.012,,,Active,,,,,,,,,,,,,,,,,INARI-C3N
0151CN,KGB-CN,0.255,0.255,0.245,+0.010,0.255,0.255,0.245,0.115,392,,46,54900,79%,,,,Active,,,,,,,,,,,,,,,,,KGB-CN
0197,WEGMANS,0.115,0.12,0.115,+0.005,0.12,0.115,0.195,0.115,95,,100,116085,33%,-0.003,1.09,10.69,Active,,,,,,,,,,,,,,,,,WEGMANS
0166HE,INARI-HE,,,0.135,,-,-,0.155,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,INARI-HE
0210,KHJB,,,0.135,,-,-,0.16,0.115,0,,-,103565,53%,0.002,-0.8,,Active,,,,,,,,,,,,,,,,,KHJB
0229,MOBILIA,0.12,0.12,0.12,-,0.12,0.12,0.17,0.115,403,4.17%,-,120490,43%,-0.001,1.9,6.33,Active,,,,,,,,,,,,,,,,,MOBILIA
0282,KGW,0.115,0.125,0.115,+0.010,0.125,0.115,0.22,0.115,16841,,42,118435,20%,-0.005,0.56,22.52,Active,,,,,,,,,,,,,,,,,KGW
058135,XIAOMI-C35,0.155,0.16,0.135,+0.025,0.17,0.155,0.71,0.115,2169,,48,205880,30%,-0.054,,,Active,,,,,,,,,,,,,,,,,XIAOMI-C35
058137,XIAOMI-C37,0.13,0.13,0.12,+0.010,0.135,0.13,0.255,0.115,2700,,78,293375,24%,-0.02,,,Active,,,,,,,,,,,,,,,,,XIAOMI-C37
0650QZ,FBMKLCI-CQZ,0.275,0.275,0.255,+0.020,0.275,0.275,0.265,0.115,2270,,66,257930,74%,0.025,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQZ
0652II,HSI-CWII,0.185,0.185,0.17,+0.015,0.185,0.185,0.23,0.115,28,,100,371490,45%,0.008,,,Active,,,,,,,,,,,,,,,,,HSI-CWII
1147,GOB,0.125,0.125,0.125,-,0.125,0.125,0.215,0.115,365,,-,428925,50%,0.001,0.35,20.99,Active,,,,,,,,,,,,,,,,,GOB
12951T,PBBANK-C1T,,,0.115,,-,-,0.155,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,PBBANK-C1T
1643,LANDMRK,0.12,0.125,0.125,-,0.125,0.12,0.185,0.115,421,,95,160130,37%,-0.004,-4.26,,Active,,,,,,,,,,,,,,,,,LANDMRK
248820,ABMB-C20,,,0.155,,-,-,0.16,0.115,0,,-,79225,63%,,,,Active,,,,,,,,,,,,,,,,,ABMB-C20
46771Y,YTL-C1Y,0.15,0.15,0.155,-0.005,0.15,0.14,0.16,0.115,2825,,29,-,0%,,,,Active,,,,,,,,,,,,,,,,,YTL-C1Y
46771Z,YTL-C1Z,,,0.135,,-,-,0.14,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,YTL-C1Z
514152,DAYANG-C52,,,0.115,,-,-,0.14,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,DAYANG-C52
5145,SEALINK,0.17,0.175,0.17,+0.005,0.175,0.165,0.4,0.115,29680,,77,1975485,79%,0.006,3.64,4.6,Active,,,,,,,,,,,,,,,,,SEALINK
5162CD,VSTECS-CD,,,0.205,,-,-,0.21,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,VSTECS-CD
67421A,YTLPOWR-C1A,,,0.115,,-,-,0.115,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C1A
674281,YTLPOWR-C81,,,0.365,,-,-,0.375,0.115,0,,-,385695,55%,0.028,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C81
674286,YTLPOWR-C86,0.24,0.24,0.24,-,0.24,0.24,0.255,0.115,1650,,39,217280,52%,0.012,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C86
674292,YTLPOWR-C92,0.165,0.165,0.165,-,0.165,0.16,0.185,0.115,10504,,85,3134740,60%,0.004,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C92
716054,PENTA-C54,,,0.14,,-,-,0.15,0.115,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,PENTA-C54
7232WB,RESINTC-WB,0.135,0.15,0.15,-,0.15,0.135,0.28,0.115,2148,,-,125065,52%,-0.004,,,Active,,,,,,,,,,,,,,,,,RESINTC-WB
0054,KARYON,0.15,0.155,0.155,-,0.155,0.15,0.195,0.12,800,2.45%,69,109070,50%,0.001,1.87,8.28,Active,,,,,,,,,,,,,,,,,KARYON
0151CO,KGB-CO,0.325,0.32,0.29,+0.030,0.325,0.32,0.295,0.12,1000,,-,130540,83%,0.056,,,Active,,,,,,,,,,,,,,,,,KGB-CO
0180,KTC,0.13,0.14,0.135,+0.005,0.14,0.13,0.22,0.12,6704,,59,736820,56%,,2.41,5.12,Active,,,,,,,,,,,,,,,,,KTC
0251,SFPTECH,0.155,0.155,0.155,-,0.17,0.15,0.765,0.12,457695,1.29%,57,11756645,47%,-0.013,0.4,38.44,Active,,,,,,,,,,,,,,,,,SFPTECH
0225CJ,SCGBHD-CJ,,,0.14,,-,-,0.145,0.12,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SCGBHD-CJ
0283,DCHCARE,0.13,0.14,0.125,+0.015,0.14,0.13,0.215,0.12,14831,,84,718945,37%,,-1.98,,Active,,,,,,,,,,,,,,,,,DCHCARE
03023,SMILE,,,0.13,,-,-,0.16,0.12,0,,-,130925,38%,-0.005,,,Active,,,,,,,,,,,,,,,,,SMILE
03054,SNOWFIT,,,0.12,,-,-,0.12,0.12,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SNOWFIT
05461G,TENCENT-H1G,0.08,0.085,0.12,-0.035,0.085,0.08,0.125,0.12,1202,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,TENCENT-H1G
0652JW,HSI-PWJW,0.13,0.13,0.145,-0.015,0.13,0.13,0.185,0.12,100,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJW
0660AB,HSCEI-CAB,,,0.12,,-,-,0.145,0.12,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSCEI-CAB
11552D,MAYBANKC2D,,,0.12,,-,-,0.12,0.12,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MAYBANKC2D
33361H,IJM-C1H,,,0.16,,-,-,0.215,0.12,0,,-,86295,47%,,,,Active,,,,,,,,,,,,,,,,,IJM-C1H
46771O,YTL-C1O,0.445,0.46,0.47,-0.01,0.46,0.445,0.49,0.12,590,,25,162935,66%,0.032,,,Active,,,,,,,,,,,,,,,,,YTL-C1O
528532,SDG-C32,0.145,0.14,0.15,-0.01,0.145,0.14,0.15,0.12,820,,56,-,0%,,,,Active,,,,,,,,,,,,,,,,,SDG-C32
526336,SUNCON-C36,0.245,0.245,0.215,+0.030,0.26,0.245,0.285,0.12,1666,,38,200225,68%,-0.003,,,Active,,,,,,,,,,,,,,,,,SUNCON-C36
526338,SUNCON-C38,0.195,0.19,0.16,+0.030,0.2,0.19,0.17,0.12,206,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,SUNCON-C38
5337CN,ECOSHOP-CN,,,0.14,,-,-,0.15,0.12,0,,-,1406660,57%,0.009,,,Active,,,,,,,,,,,,,,,,,ECOSHOP-CN
53983X,GAMUDA-C3X,0.125,0.13,0.125,+0.005,0.13,0.125,0.135,0.12,21750,,51,-,0%,,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3X
6076,ENCORP,0.135,0.15,0.135,+0.015,0.155,0.135,0.26,0.12,9708,,85,55155,53%,-0.003,0.57,13.83,Active,,,,,,,,,,,,,,,,,ENCORP
7066,YONGTAI,0.15,0.15,0.15,-,0.155,0.15,0.28,0.12,4378,,2,923105,33%,-0.003,1.55,11.75,Active,,,,,,,,,,,,,,,,,YONGTAI
729350,YINSON-C50,,,0.12,,-,-,0.125,0.12,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,YINSON-C50
0050,SYSTECH,0.135,0.135,0.135,-,0.135,0.13,0.375,0.125,1477,,1,1716035,14%,-0.014,-1.17,,Active,,,,,,,,,,,,,,,,,SYSTECH
012843,FRONTKN-C43,,,0.15,,-,-,0.155,0.125,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,FRONTKN-C43
0151CT,KGB-CT,0.155,0.16,0.155,+0.005,0.16,0.155,0.155,0.125,4420,,89,-,0%,,,,Active,,,,,,,,,,,,,,,,,KGB-CT
0255,EIB,0.145,0.14,0.145,-0.005,0.145,0.14,0.34,0.125,130,,54,30370,43%,-0.005,-6.84,,Active,,,,,,,,,,,,,,,,,EIB
0226,ANEKA,0.15,0.145,0.145,-,0.15,0.145,0.18,0.125,730,,48,606745,63%,0.001,0.5,23.15,Active,,,,,,,,,,,,,,,,,ANEKA
054643,TENCENT-C43,,,0.31,,-,-,0.385,0.125,0,,-,23700,50%,0.006,,,Active,,,,,,,,,,,,,,,,,TENCENT-C43
054646,TENCENT-C46,,,0.2,,-,-,0.23,0.125,0,,-,521375,75%,0.01,,,Active,,,,,,,,,,,,,,,,,TENCENT-C46
0652IC,HSI-CWIC,0.14,0.15,0.135,+0.015,0.15,0.135,0.295,0.125,960328,,61,37200605,42%,-0.02,,,Active,,,,,,,,,,,,,,,,,HSI-CWIC
070397,A50CHIN-H97,,,0.125,,-,-,0.42,0.125,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,A50CHIN-H97
101555,AMBANK-C55,0.195,0.19,0.185,+0.005,0.195,0.19,0.195,0.125,4090,,62,-,0%,,,,Active,,,,,,,,,,,,,,,,,AMBANK-C55
244539,KLK-C39,0.135,0.135,0.125,+0.010,0.135,0.135,0.15,0.125,500,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,KLK-C39
33361K,IJM-C1K,0.13,0.13,0.135,-0.005,0.13,0.13,0.165,0.125,100,,100,-,45%,,,,Active,,,,,,,,,,,,,,,,,IJM-C1K
4383C7,JTIASA-C7,0.15,0.15,0.15,-,0.15,0.15,0.16,0.125,600,,50,-,53%,,,,Active,,,,,,,,,,,,,,,,,JTIASA-C7
5025,AURO,0.16,0.16,0.155,+0.005,0.16,0.155,0.185,0.125,77641,,84,5064725,30%,-0.002,-1.26,,Active,,,,,,,,,,,,,,,,,AURO
5038CO,KSL-CO,0.125,0.125,0.13,-0.005,0.125,0.125,0.13,0.125,1232,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KSL-CO
500544,UNISEM-C44,,,0.17,,-,-,0.205,0.125,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,UNISEM-C44
500546,UNISEM-C46,0.2,0.205,0.18,+0.025,0.205,0.2,0.195,0.125,1000,,50,381880,61%,0.016,,,Active,,,,,,,,,,,,,,,,,UNISEM-C46
521142,SUNWAY-C42,,,0.15,,-,-,0.15,0.125,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SUNWAY-C42
524632,WPRTS-C32,,,0.275,,-,-,0.29,0.125,0,,-,192590,88%,,,,Active,,,,,,,,,,,,,,,,,WPRTS-C32
526339,SUNCON-C39,0.24,0.26,0.225,+0.035,0.28,0.24,0.29,0.125,20199,,65,531575,77%,-0.003,,,Active,,,,,,,,,,,,,,,,,SUNCON-C39
532611,99SMART-C11,0.15,0.15,0.145,+0.005,0.155,0.15,0.15,0.125,16810,,48,-,0%,,,,Active,,,,,,,,,,,,,,,,,99SMART-C11
53983T,GAMUDA-C3T,0.18,0.185,0.175,+0.010,0.185,0.175,0.18,0.125,20003,,50,972605,65%,,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3T
6556WC,ANNJOO-WC,0.185,0.19,0.19,-,0.19,0.185,0.345,0.125,420,,80,103540,41%,,,,Active,,,,,,,,,,,,,,,,,ANNJOO-WC
88692A,PMETAL-C2A,,,0.13,,-,-,0.13,0.125,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,PMETAL-C2A
0051,CUSCAPI,0.155,0.15,0.155,-0.005,0.16,0.15,0.29,0.13,5734,,16,315730,42%,-0.002,1.4,10.77,Active,,,,,,,,,,,,,,,,,CUSCAPI
01388J,ZETRIX-C8J,,,0.14,,-,-,0.14,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8J
0257WA,UNIQUE-WA,0.17,0.17,0.17,-,0.175,0.17,0.23,0.13,1645,,60,134450,67%,0.001,,,Active,,,,,,,,,,,,,,,,,UNIQUE-WA
0267,ECA,0.15,0.15,0.15,-,0.16,0.145,0.35,0.13,11907,,95,593680,33%,-0.002,-1.35,,Active,,,,,,,,,,,,,,,,,ECA
03030,IDBTECH,,,0.13,,-,-,0.13,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,IDBTECH
0316,SCB,0.14,0.145,0.145,-,0.145,0.14,0.29,0.13,1311,,-,199120,40%,-0.001,0.51,35.55,Active,,,,,,,,,,,,,,,,,SCB
03061,TPTEC,,,0.28,,-,-,0.28,0.13,0,,-,-,100%,,,,Active,,,,,,,,,,,,,,,,,TPTEC
0505CT,HKEX-CT,,,0.195,,-,-,0.235,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HKEX-CT
0350,MSB,0.155,0.155,0.155,-,0.16,0.155,0.18,0.13,42093,,73,2104600,60%,0.002,1.91,10.35,Active,,,,,,,,,,,,,,,,,MSB
0650QR,FBMKLCI-CQR,,,0.14,,-,-,0.555,0.13,0,,-,152020,31%,-0.026,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQR
0652IV,HSI-CWIV,,,0.14,,-,-,0.175,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIV
0703CJ,A50CHIN-CJ,0.19,0.215,0.185,+0.030,0.22,0.19,0.22,0.13,209,,75,38645,78%,0.004,,,Active,,,,,,,,,,,,,,,,,A50CHIN-CJ
248824,ABMB-C24,0.145,0.15,0.175,-0.025,0.15,0.145,0.19,0.13,450,,100,356850,56%,,,,Active,,,,,,,,,,,,,,,,,ABMB-C24
46771T,YTL-C1T,0.19,0.185,0.19,-0.005,0.19,0.185,0.205,0.13,3051,,71,91820,63%,0.016,,,Active,,,,,,,,,,,,,,,,,YTL-C1T
514154,DAYANG-C54,0.13,0.13,0.13,-,0.145,0.13,0.24,0.13,310,,100,75240,32%,,,,Active,,,,,,,,,,,,,,,,,DAYANG-C54
521673,NEXG-C73,,,0.13,,-,-,0.235,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,NEXG-C73
5243,VELESTO,0.195,0.2,0.195,+0.005,0.2,0.195,0.225,0.13,171248,6.25%,68,15389205,100%,0.002,2.53,7.91,Active,,,,,,,,,,,,,,,,,VELESTO
5265,OASIS,0.215,0.21,0.215,-0.005,0.215,0.205,0.24,0.13,8409,,78,878170,46%,0.005,-0.62,,Active,,,,,,,,,,,,,,,,,OASIS
53983S,GAMUDA-C3S,0.2,0.2,0.195,+0.005,0.2,0.195,0.21,0.13,58300,,91,3419790,67%,,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3S
5819C7,HLBANK-C7,,,0.13,,-,-,0.13,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HLBANK-C7
7081,PHARMA,0.18,0.175,0.18,-0.005,0.18,0.17,0.435,0.13,113941,,7,44260805,58%,-0.004,9.15,8.58,"Active, Alert",,,,,,,,,,,,,,,,,PHARMA
7117,CJCEN,0.16,0.17,0.14,+0.030,0.17,0.16,0.295,0.13,24288,,60,109845,37%,-0.001,-1.3,,Active,,,,,,,,,,,,,,,,,CJCEN
729347,YINSON-C47,,,0.145,,-,-,0.175,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,YINSON-C47
8893,MKLAND,0.145,0.145,0.145,-,0.145,0.145,0.2,0.13,810,,-,201830,56%,0.001,0.95,15.56,Active,,,,,,,,,,,,,,,,,MKLAND
012841,FRONTKN-C41,0.225,0.225,0.225,-,0.225,0.225,0.26,0.135,300,,100,173660,63%,0.008,,,Active,,,,,,,,,,,,,,,,,FRONTKN-C41
012842,FRONTKN-C42,,,0.16,,-,-,0.175,0.135,0,,-,1202640,50%,,,,Active,,,,,,,,,,,,,,,,,FRONTKN-C42
0151CP,KGB-CP,,,0.295,,-,-,0.295,0.135,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KGB-CP
0151CS,KGB-CS,0.17,0.18,0.175,+0.005,0.18,0.17,0.175,0.135,60000,,43,-,0%,,,,Active,,,,,,,,,,,,,,,,,KGB-CS
0220,OVH,0.155,0.15,0.16,-0.01,0.16,0.15,0.205,0.135,6720,,6,211095,37%,-0.004,1.49,80.86,Active,,,,,,,,,,,,,,,,,OVH
0225CH,SCGBHD-CH,0.29,0.285,0.285,-,0.29,0.285,0.29,0.135,2550,,31,375170,73%,0.032,,,Active,,,,,,,,,,,,,,,,,SCGBHD-CH
0335,CARLORINO,0.14,0.14,0.14,-,0.145,0.14,0.25,0.135,8561,,28,887740,45%,-0.002,,,Active,,,,,,,,,,,,,,,,,CARLORINO
0327,OBHB,0.155,0.155,0.155,-,0.155,0.15,0.275,0.135,555,1.55%,63,646475,33%,-0.003,1.4,13.29,Active,,,,,,,,,,,,,,,,,OBHB
0333,VANZO,0.17,0.17,0.17,-,0.17,0.17,0.225,0.135,400,,-,549380,57%,0.002,1.06,16.11,Active,,,,,,,,,,,,,,,,,VANZO
0348,CLITE,0.23,0.235,0.235,-,0.24,0.23,0.255,0.135,20328,,41,1560055,44%,0.003,,,Active,,,,,,,,,,,,,,,,,CLITE
0652IB,HSI-CWIB,,,0.24,,-,-,0.27,0.135,0,,-,64410,70%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIB
0742C1,POPMART-C1,,,0.325,,-,-,0.35,0.135,0,,-,77720,74%,0.017,,,Active,,,,,,,,,,,,,,,,,POPMART-C1
416239,BAT-C39,0.16,0.16,0.155,+0.005,0.16,0.16,0.24,0.135,1200,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BAT-C39
5252,SASBADI,0.145,0.145,0.145,-,0.145,0.145,0.18,0.135,1040,5.17%,-,380480,56%,,0.5,29.37,Active,,,,,,,,,,,,,,,,,SASBADI
5242,SOLID,0.135,0.135,0.135,-,0.135,0.135,0.22,0.135,1842,,-,281220,25%,-0.004,1.29,10.5,Active,,,,,,,,,,,,,,,,,SOLID
526347,SUNCON-C47,0.165,0.175,0.16,+0.015,0.185,0.165,0.17,0.135,103852,,78,-,0%,,,,Active,,,,,,,,,,,,,,,,,SUNCON-C47
528847,SIMEPROP-C47,,,0.145,,-,-,0.17,0.135,0,,-,186365,47%,,,,Active,,,,,,,,,,,,,,,,,SIMEPROP-C47
53983L,GAMUDA-C3L,,,0.3,,-,-,0.3,0.135,0,,-,247315,77%,0.024,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3L
587820,KPJ-C20,,,0.18,,-,-,0.31,0.135,0,,-,67185,39%,,,,Active,,,,,,,,,,,,,,,,,KPJ-C20
674293,YTLPOWR-C93,0.185,0.19,0.195,-0.005,0.195,0.185,0.215,0.135,1075,,35,174265,54%,0.007,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C93
68881R,AXIATA-C1R,,,0.135,,-,-,0.19,0.135,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AXIATA-C1R
68881T,AXIATA-C1T,,,0.14,,-,-,0.14,0.135,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AXIATA-C1T
7471,EDEN,0.14,0.145,0.14,+0.005,0.145,0.14,0.175,0.135,550,,8,191200,50%,,16.23,0.96,Active,,,,,,,,,,,,,,,,,EDEN
0151CQ,KGB-CQ,,,0.275,,-,-,0.275,0.14,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KGB-CQ
0203,SMETRIC,0.14,0.145,0.145,-,0.145,0.14,0.25,0.14,8727,,4,1378280,33%,-0.001,0.88,16.37,Active,,,,,,,,,,,,,,,,,SMETRIC
03025,ENEST,,,0.14,,-,-,0.14,0.14,0,,-,236245,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,ENEST
0359,HKB,0.16,0.155,0.16,-0.005,0.16,0.155,0.165,0.14,1668,,24,2102870,56%,0.002,,,Active,,,,,,,,,,,,,,,,,HKB
0650Q4,FBMKLCI-CQ4,,,0.165,,-,-,0.185,0.14,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQ4
0652G8,HSI-CWG8,0.145,0.16,0.14,+0.020,0.16,0.145,0.24,0.14,320,,66,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWG8
0652IY,HSI-CWIY,,,0.155,,-,-,0.185,0.14,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIY
0652JX,HSI-PWJX,,,0.16,,-,-,0.16,0.14,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJX
0659CL,NDX-CL,0.12,0.12,0.14,-0.02,0.12,0.12,0.245,0.14,360,,17,35135,41%,,,,Active,,,,,,,,,,,,,,,,,NDX-CL
4847,EPICON,0.15,0.14,0.145,-0.005,0.15,0.14,0.325,0.14,4191,,6,279715,29%,-0.005,1.58,9.36,Active,,,,,,,,,,,,,,,,,EPICON
